verbo,respuesta,modo,tiempo,persona,persona.texto,cuantos,valor
rir,río,indicativo,presente,1,eu,singular,10
rir,ris,indicativo,presente,2,ti,singular,10
rir,ri,indicativo,presente,3,el,singular,10
rir,rimos,indicativo,presente,1,nos,plural,10
rir,rides,indicativo,presente,2,vos,plural,10
rir,rin,indicativo,presente,3,eles,plural,10
rir,ría,indicativo,pretéritoimperfecto,1,eu,singular,20
rir,rías,indicativo,pretéritoimperfecto,2,ti,singular,20
rir,ría,indicativo,pretéritoimperfecto,3,el,singular,20
rir,riamos,indicativo,pretéritoimperfecto,1,nos,plural,20
rir,riades,indicativo,pretéritoimperfecto,2,vos,plural,20
rir,rían,indicativo,pretéritoimperfecto,3,eles,plural,20
rir,rin,indicativo,pretéritoperfecto,1,eu,singular,24
rir,riches,indicativo,pretéritoperfecto,2,ti,singular,24
rir,riu,indicativo,pretéritoperfecto,3,el,singular,24
rir,rimos,indicativo,pretéritoperfecto,1,nos,plural,24
rir,ristes,indicativo,pretéritoperfecto,2,vos,plural,24
rir,riron,indicativo,pretéritoperfecto,3,eles,plural,24
rir,rirei,indicativo,futuro,1,eu,singular,30
rir,rirás,indicativo,futuro,2,ti,singular,30
rir,rirá,indicativo,futuro,3,el,singular,30
rir,riremos,indicativo,futuro,1,nos,plural,30
rir,riredes,indicativo,futuro,2,vos,plural,30
rir,rirán,indicativo,futuro,3,eles,plural,30
rir,rira,indicativo,pretéritopluscuamperfecto,1,eu,singular,28
rir,riras,indicativo,pretéritopluscuamperfecto,2,ti,singular,28
rir,rira,indicativo,pretéritopluscuamperfecto,3,el,singular,28
rir,riramos,indicativo,pretéritopluscuamperfecto,1,nos,plural,28
rir,rirades,indicativo,pretéritopluscuamperfecto,2,vos,plural,28
rir,riran,indicativo,pretéritopluscuamperfecto,3,eles,plural,28
rir,riría,indicativo,condicional,1,eu,singular,40
rir,rirías,indicativo,condicional,2,ti,singular,40
rir,riría,indicativo,condicional,3,el,singular,40
rir,ririamos,indicativo,condicional,1,nos,plural,40
rir,ririades,indicativo,condicional,2,vos,plural,40
rir,rirían,indicativo,condicional,3,eles,plural,40
rir,ría,subxuntivo,presente,1,eu,singular,110
rir,rías,subxuntivo,presente,2,ti,singular,110
rir,ría,subxuntivo,presente,3,el,singular,110
rir,riamos,subxuntivo,presente,1,nos,plural,110
rir,riades,subxuntivo,presente,2,vos,plural,110
rir,rían,subxuntivo,presente,3,eles,plural,110
rir,rise,subxuntivo,pretérito,1,eu,singular,120
rir,rises,subxuntivo,pretérito,2,ti,singular,120
rir,rise,subxuntivo,pretérito,3,el,singular,120
rir,rísemos,subxuntivo,pretérito,1,nos,plural,120
